产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
10110A0202022A,城市绿地-国槐,摇篮到坟墓,-31400kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0212022A,城市绿地-垂柳,摇篮到坟墓,-87600kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0182022A,城市绿地-悬铃木,摇篮到坟墓,-57200kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0172022A,城市绿地-栾树,摇篮到坟墓,-79800kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0162022A,城市绿地-榆树,摇篮到坟墓,-14800kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0192022A,城市绿地-毛白杨,摇篮到坟墓,-103400kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0142022A,城市绿地-海棠,摇篮到坟墓,-27200kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0112022A,城市绿地-白蜡,摇篮到坟墓,-91600kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0132022A,城市绿地-红叶李,摇篮到坟墓,-285000kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0122022A,城市绿地-草地早熟禾,摇篮到坟墓,3599.99kgCO2e / 公顷·年,-,2022,文献数据,否
10110A0152022A,城市绿地-金银花,摇篮到坟墓,-26000kgCO2e / 公顷·年,-,2022,文献数据,否
94110X0432022A,城镇污水处理（平均）,摇篮到大门,0.000432kgCO2e / 千克,-,2022,文献数据,否
94110X0052011A,城镇生活污水处理,摇篮到坟墓,6.99kgCO2e / 公吨,-,2011,文献数据,否
21181X0012003A,培根-世界,摇篮到坟墓,5.85kgCO2e / 千克,-,2003,文献数据,否
12030X0022021A,基质沥青,摇篮到大门,174244gCO2e / 公吨,-,2021,文献数据,否
17100B0042014A,堆石坝,摇篮到坟墓,10.04gCO2e / 千瓦时,-,2014,文献数据,否
34790A0042015A,塑料,摇篮到坟墓,4.177kgCO2e / 公吨,-,2015,文献数据,否
34710X0032022A,塑料-PE,摇篮到大门,4.72kgCO2e / 千克,-,2022,文献数据,否
34730B0012022A,塑料-PP,摇篮到大门,3.43kgCO2e / 千克,-,2022,文献数据,否
94313X0012020A,塑料包装废弃物-填埋,摇篮到大门,74.8kgCO2e / 公吨,-,2020,文献数据,否
23490X0102011A,塑料包装面包片,摇篮到坟墓,1.1001kgCO2e / 个,-,2011,文献数据,否
94110X0162011A,塑料和树脂行业废水处理,摇篮到坟墓,7.9kgCO2e / 公吨,-,2011,文献数据,否
94229X0012019A,塑料回收,摇篮到坟墓,0.906kgCO2e / 千克,-,2019,文献数据,否
36910X0082013A,塑料地板,摇篮到坟墓,22kgCO2e / 平方米,-,2013,文献数据,否
36910X0092020A,塑料地板,摇篮到坟墓,19kgCO2e / 平方米,-,2020,文献数据,否
01354X0052021A,塑料大棚草莓-福建省,摇篮到坟墓,0.26tCO2e / 公吨,-,2021,文献数据,否
36990X0102013A,塑料桶（聚氯乙烯）,摇篮到坟墓,6kgCO2e / 个,-,2013,文献数据,否
38590X0032018A,塑料椅子,摇篮到大门,30kgCO2e / 个,-,2018,文献数据,否
38560X0022022A,塑料玩具-芭比,摇篮到大门,0.6483kgCO2e / 个,-,2022,文献数据,否
38560X0062022A,塑料玩具（139块）,摇篮到大门,0.7554kgCO2e / 个,-,2022,文献数据,否
38560X0052022A,塑料玩具（206块）,摇篮到大门,0.3361kgCO2e / 个,-,2022,文献数据,否
38560X0032022A,塑料玩具（50块）,摇篮到大门,1.1749kgCO2e / 个,-,2022,文献数据,否
38560X0042022A,塑料玩具（691块）,摇篮到大门,1.5375kgCO2e / 个,-,2022,文献数据,否
38560X0012015A,塑料玩具（乐高砖块）,摇篮到坟墓,22gCO2e / 个,-,2015,文献数据,否
36990X0252014A,塑料管材,摇篮到坟墓,3.4389kgCO2e / 千克,-,2014,文献数据,否
38924X0012014A,塑料纽扣,摇篮到大门,18.146kgCO2e / 千克,-,2014,文献数据,否
38924X0052014A,塑料纽扣（PE-X）,摇篮到大门,22.566kgCO2e / 千克,-,2014,文献数据,否
